symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
USDJPY,SELL,2024-03-01 18:00:00+00:00,2024-03-03 22:15:00+00:00,150.146,150.04692857142857,1.9601471539616167,52.25,0,TRAILING_BE_EXIT,
US30,SELL,2024-03-04 01:00:00+00:00,2024-03-04 02:15:00+00:00,39074.9,39037.514285714286,2.4232754285715616,1.25,0,TRAILING_BE_EXIT,
BTCUSD,SELL,2024-03-04 00:00:00+00:00,2024-03-04 05:45:00+00:00,63157.06,63011.71657142857,25.610599699999934,5.75,1,TRAILING_BE_EXIT,
US100,SELL,2024-03-04 03:00:00+00:00,2024-03-04 12:15:00+00:00,18331.31,18310.093714285715,1.4175824285715213,9.25,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-04 13:00:00+00:00,2024-03-04 14:45:00+00:00,5134.05,5131.809428571429,-0.4782611428571401,1.75,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-04 06:00:00+00:00,2024-03-04 18:00:00+00:00,63383.85,66889.34,34.98065981785712,12.0,0,12H_ML_CUT,
US500,SELL,2024-03-04 15:00:00+00:00,2024-03-04 19:45:00+00:00,5136.27,5150.89,-2.1644970714285607,4.75,0,SOFT_ATR_STOP,
BTCUSD,BUY,2024-03-04 18:00:00+00:00,2024-03-04 21:15:00+00:00,66889.34,67349.86464285714,4.530191182142837,3.25,0,TRAILING_BE_EXIT,
BTCUSD,SELL,2024-03-05 00:00:00+00:00,2024-03-05 05:15:00+00:00,68270.82,66133.37057142858,21.29967257500003,5.25,0,TRAILING_BE_EXIT,
XAUUSD,BUY,2024-03-04 20:00:00+00:00,2024-03-05 05:45:00+00:00,2116.24,2118.886,2.3630620000001854,9.75,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-05 06:00:00+00:00,2024-03-05 13:00:00+00:00,66917.41,67424.93892857143,5.000013996428528,7.0,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2024-03-05 07:00:00+00:00,2024-03-05 13:30:00+00:00,2117.214,2131.703,-14.77033460714289,6.5,0,SOFT_ATR_STOP,
GBPUSD,SELL,2024-03-05 13:00:00+00:00,2024-03-05 15:15:00+00:00,1.26795,1.27239,-53.13002745999993,2.25,1,SOFT_ATR_STOP,
US100,SELL,2024-03-05 14:00:00+00:00,2024-03-05 17:30:00+00:00,18110.21,17946.65857142857,15.648179642857361,3.5,0,TRAILING_BE_EXIT,
AUDUSD,BUY,2024-03-05 16:00:00+00:00,2024-03-06 04:00:00+00:00,0.65198,0.65137,9.2399655171434,12.0,2,12H_ML_CUT,
USDJPY,SELL,2024-03-05 18:00:00+00:00,2024-03-06 06:00:00+00:00,150.088,149.907,6.222975787844933,12.0,0,12H_ML_CUT,
