symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio
XAUUSD,BUY,2024-10-14 00:00:00+00:00,2024-10-14 08:15:00+00:00,2648.091,2660.3224285714286,11.948284107143037,8.25,0,TRAILING_BE_EXIT,ASIA,0.46648255084108275,0.9264213535535912,-3.0747399000018234,-1.6189671065026872,39.08038023293836,36.16395927658765,36.16395927658765,53.94705826771425,56.76601105920915,39.08038023293836,5.972214285714277,20.6020517826215,0.002255290428355475,0,0,3.9470582677142474,233.39640511830032
US30,BUY,2024-10-14 06:00:00+00:00,2024-10-14 08:15:00+00:00,42906.9,42931.514285714286,1.7545057142855476,2.25,0,TRAILING_BE_EXIT,ASIA,0.7317784256560274,0.3014535433228234,-1.2956242137255458,-5.014903311548878,69.90564228888948,51.094321881892675,51.094321881892675,70.78326472870498,74.99866089787679,69.90564228888948,64.04285714285912,23.904339015984114,0.0014926004242408358,6,0,20.783264728704978,4476.95706258716
US30,SELL,2024-10-14 14:00:00+00:00,2024-10-14 15:45:00+00:00,42866.3,43068.5,-45.890864999999714,1.75,2,SOFT_ATR_STOP,OVERLAP_EU_US,0.14917127071825523,1.0373557580431185,1.1120374796755428,-5.092178385443233,55.077244761950496,47.9751040137661,47.9751040137661,58.42123533813947,66.95467659111918,55.077244761950496,41.192857142860056,18.979572577353082,0.000960961341260152,14,4,8.421235338139468,2268.789075301364
GBPUSD,BUY,2024-10-14 09:00:00+00:00,2024-10-14 21:00:00+00:00,1.3066,1.30571,9.119944919998693,12.0,2,12H_ML_CUT,EUROPE,0.01149425287355344,0.9687117247522806,4.000779370698034,8.400567436540896,18.987368855680042,58.44774725401761,58.44774725401761,54.24389879105098,42.340558363396184,18.987368855680042,0.0010771428571428401,-16.107188890621423,0.0008243860838380837,9,1,4.243898791050981,0.02045210873883218
USDCHF,SELL,2024-10-14 21:00:00+00:00,2024-10-14 23:30:00+00:00,0.86239,0.8618878571428571,1.3542768755963566,2.5,0,TRAILING_BE_EXIT,US,0.3631284916201422,0.8917914265252652,-1.4999784766487565,-0.4862837333351564,79.22727441000161,44.05006200165189,44.05006200165189,63.78503751254872,68.50818982269531,79.22727441000161,0.001140000000000006,24.458127821043426,0.0013219077215644963,21,2,13.785037512548719,0.09031909282740232
BTCUSD,BUY,2024-10-14 16:00:00+00:00,2024-10-14 23:45:00+00:00,65841.9,66073.6732142857,2.2452144107142735,7.75,0,TRAILING_BE_EXIT,US,0.6002684477964868,1.4045995536663083,-1.2287330191578434,-4.748362271135548,59.46604062330532,68.71422764001873,68.71422764001873,78.45818223719913,74.60268760044696,59.46604062330532,579.2085714285719,5.8884599604282215,0.008796960164098725,16,2,28.458182237199125,34443.2404379381
US100,SELL,2024-10-15 00:00:00+00:00,2024-10-15 05:45:00+00:00,20477.67,20458.180714285714,1.2430307142855481,5.75,0,TRAILING_BE_EXIT,ASIA,0.28824952944337723,0.9013169758175397,0.570667791986665,2.517870521024733,69.13305752629441,57.61892831306122,57.61892831306122,66.95550883455593,71.00875728313993,69.13305752629441,48.48500000000006,13.38982897007871,0.0023677010128593766,0,0,16.95550883455593,3351.9162941623886
BTCUSD,BUY,2024-10-15 01:00:00+00:00,2024-10-15 13:00:00+00:00,65908.92,65775.16,-1.4095965571428049,12.0,0,12H_ML_CUT,ASIA,0.10590156151392464,1.061982373852764,-3.1198024885456164,-1.289382296287755,66.15808332994355,49.21886956770541,49.21886956770541,65.49962169937794,75.5629162423354,66.15808332994355,468.6707142857163,26.344046674629993,0.007110884449111233,1,0,15.49962169937794,31006.356170018586
US500,BUY,2024-10-15 06:00:00+00:00,2024-10-15 13:00:00+00:00,5870.94,5873.161785714285,-0.48026578571435385,7.0,0,TRAILING_BE_EXIT,ASIA,0.6523235800343722,0.4653136015092385,-6.027524924149915,-11.786695588912224,78.26326921708349,42.921751712616455,42.921751712616455,69.64358416442838,79.52900264796362,78.26326921708349,6.220714285714231,36.60725093534717,0.0010595772202942342,6,0,19.643584164428376,486.85343686541006
USDJPY,SELL,2024-10-15 13:00:00+00:00,2024-10-15 14:45:00+00:00,149.083,148.96660714285713,2.441315922912116,1.75,0,TRAILING_BE_EXIT,OVERLAP_EU_US,0.08452950558213153,1.3491639306711227,-7.1859531363678215,-10.483469413312143,40.5374712528975,40.63025583793459,40.63025583793459,39.83348301364075,57.82235036489495,40.5374712528975,0.2324285714285728,17.19209452696036,0.0015590548313930681,13,4,10.166516986359248,9.422066532637801
