symbol,direction,entry_time,session,profit_usd,is_win,RSI_M15,RSI_H1,RSI_H4,ADX,ATR,hour
EURUSD,BUY,2026-01-21T13:00:00+00:00,OVERLAP_EU_US,-7.289097339624462,0,70.72309752053214,62.751273871785074,65.1181678974772,34.14362477147878,0.0013209720957890066,13
USDCHF,SELL,2026-01-21T13:00:00+00:00,OVERLAP_EU_US,-14.234573883447007,0,32.833833112491455,38.10173548577665,31.866761665664065,26.056059916404585,0.0012694952094521549,13
NZDUSD,BUY,2026-01-21T13:00:00+00:00,OVERLAP_EU_US,5.0000000000001155,1,78.63832333661675,71.27876733931116,73.40430556543184,27.026307283526,0.0008148234431708381,13
NZDUSD,BUY,2026-01-22T11:00:00+00:00,EUROPE,5.000000000000004,1,69.37973223214753,70.28697645850619,69.91332432279556,26.580154804441747,0.0008118567480078777,11
AUDUSD,BUY,2026-01-22T06:00:00+00:00,ASIA,5.000000000000004,1,66.87486238466138,76.4998842706038,74.95187909206605,39.554903016745165,0.000993778797141732,6
USDCAD,SELL,2026-01-22T07:00:00+00:00,OVERLAP_ASIA_EU,3.630712926790227,1,45.06459653935717,46.147644569159645,40.92078925709396,14.224752130801317,0.0010628368260944404,7
US100,BUY,2026-01-21T20:00:00+00:00,US,5.0,1,72.41629340560213,67.04609405205557,57.438827352600356,27.621535189093066,131.21595041280557,20
USDJPY,SELL,2026-01-23T13:00:00+00:00,OVERLAP_EU_US,0.03161655442786969,1,45.70518998591488,41.99020905610434,46.30248434598786,25.065678291881596,0.29560127555583393,13
NZDUSD,BUY,2026-01-23T00:00:00+00:00,ASIA,5.0000000000001155,1,59.34094799310571,73.30347212157328,81.11319092297377,47.78165273143505,0.0008919242340916758,0
USDJPY,SELL,2026-01-23T16:00:00+00:00,US,3.4652805544450205,1,43.789865332085185,41.469496512320504,45.78577929955326,25.76449469008711,0.27221246443009106,16
AUDUSD,BUY,2026-01-23T13:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,67.69492064396736,73.26691097256811,81.1403780279641,49.14489527348986,0.0009166201370355606,13
GBPUSD,BUY,2026-01-23T18:00:00+00:00,US,5.109999999999948,1,79.91947132462998,81.7179399260692,74.47620104968581,28.446786458609388,0.0020432395568932343,18
USDCAD,SELL,2026-01-23T17:00:00+00:00,US,3.656173448868336,1,21.664020881926234,17.060694997983394,25.294061515075164,26.74306604302674,0.001183737899152228,17
AUDUSD,BUY,2026-01-23T18:00:00+00:00,US,5.000000000000004,1,64.64371993121689,72.82167485242725,83.91307434404231,51.206651864074495,0.0011015143067998798,18
EURUSD,BUY,2026-01-26T04:00:00+00:00,ASIA,4.999999999999893,1,57.053154452310736,73.26309107112846,81.16183085965525,46.01826005068704,0.0018427476450781444,4
US100,BUY,2026-01-23T16:00:00+00:00,US,5.0,1,77.66412525776344,65.13883310361786,61.950527685915404,17.310117864742104,73.55755935335945,16
AUDUSD,BUY,2026-01-26T15:00:00+00:00,OVERLAP_EU_US,5.0000000000001155,1,70.69404854579882,76.93335079116946,87.09679402811656,60.022008461258054,0.0011744585101889965,15
EURUSD,BUY,2026-01-26T15:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,68.02981718512964,66.53069504154499,74.57408335467491,42.21565472733451,0.0018787238901386441,15
NZDUSD,BUY,2026-01-26T00:00:00+00:00,ASIA,5.000000000000004,1,64.92707903124517,77.48286592665826,83.10301691694758,41.45923422873031,0.0010521347190238664,0
GBPUSD,BUY,2026-01-27T13:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,76.94795229663359,74.47029311899597,74.91625342643857,29.779000670648262,0.0017957067830778443,13
EURUSD,BUY,2026-01-27T13:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,76.97157957104508,71.39959142337196,71.64779576845152,32.200139897209226,0.0017319151743255673,13
USDCAD,SELL,2026-01-27T16:00:00+00:00,US,3.687451602197642,1,17.923574516234346,17.58690280466405,23.36110245502557,29.811298987532517,0.0016445208143645064,16
USDCHF,SELL,2026-01-27T16:00:00+00:00,US,6.554454407215149,1,30.628581452430467,20.274907686357434,21.72308921383332,38.95295589837332,0.0018708876739144458,16
GBPUSD,BUY,2026-01-27T18:00:00+00:00,US,4.999999999999893,1,63.88747412733874,75.0507056142102,78.46883410152007,39.81527469593742,0.0023496354729601516,18
US100,BUY,2026-01-27T12:00:00+00:00,EUROPE,5.0,1,69.75616466520403,70.58051541919362,66.66083852544763,26.231690567912352,48.033038353327335,12
AUDUSD,BUY,2026-01-27T21:00:00+00:00,US,4.999999999999893,1,76.95796333331673,83.32311377228109,83.88313859300175,38.33025274855081,0.0013457089989163038,21
AUDUSD,BUY,2026-01-28T21:00:00+00:00,US,5.000000000000004,1,69.78039439585329,68.08871334111686,82.94644015381111,33.034678335051716,0.0017214264209582527,21
AUDUSD,BUY,2026-01-29T04:00:00+00:00,ASIA,5.0000000000001155,1,77.65014571974463,76.36010583053911,88.91751359254272,38.32317300335545,0.0018504163536746398,4
US100,BUY,2026-01-28T10:00:00+00:00,EUROPE,-10.871884201014145,0,57.11442149734067,74.07633819854875,75.55047556648883,32.455012731785025,46.9528591575995,10
US500,BUY,2026-01-21T20:00:00+00:00,US,-0.2349424736866422,0,71.54674775659257,66.73939219745759,55.875078140344435,28.935112773227672,27.365752631334903,20
USDJPY,SELL,2026-01-29T15:00:00+00:00,OVERLAP_EU_US,1.7211140777970082,1,39.22835799992207,46.29764669684823,40.09957660303055,15.372460666574858,0.3024717305648057,15
